state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,20-24,12.27342481447283,20-24,10.710940654774301
01,20-24,31.75132294417623,20-24,27.228865942386538
02,20-24,8.34641047819103,15-19,8.073235615608496
03,15-19,44.61755977021743,15-19,47.20686042438375
04,70+,53.88799509691259,15-19,42.41747727635146
05,20-24,3.427263760436141,20-24,2.7629806325625084
06,20-24,7.358542656281072,15-19,7.395099517414917
07,70+,20.35843696989772,50-69,12.009708864786191
08,20-24,3.2170406187092575,15-19,2.5575742601871476
09,20-24,2.591275197398114,20-24,2.273220294272854
10,20-24,3.144337425797128,15-19,2.8678797373768385
11,15-19,43.70257073945526,15-19,47.96138316281611
12,15-19,48.05333468915638,15-19,47.116889837635036
13,25-29,42.194022187995266,20-24,39.02519036920691
14,30-49,35.22244292672308,20-24,29.108618446499523
15,30-49,10.100900431396392,25-29,5.630347751000864
16,25-29,10.084028813142998,20-24,6.55075555180097
17,30-49,18.367519388093616,20-24,12.827684545354831
18,30-49,23.954201866422515,15-19,18.595240487355845
19,50-69,6.0461795879053195,20-24,3.7846323032171107
20,20-24,8.343959146571944,15-19,6.933797465211916
21,20-24,24.91406721437738,15-19,21.012856977519494
22,30-49,2.6552583613325424,20-24,2.093604398893421
23,20-24,3.1202660147976076,15-19,2.8724294483801245
24,15-19,25.81260667935959,15-19,21.874174985751843
25,50-69,22.34303379170664,15-19,25.91950464396285
26,10-14,32.97253195539842,15-19,35.817142857142855
27,20-24,28.53477280340469,15-19,26.26312649904909
28,20-24,14.37839167965457,15-19,12.730228047128373
29,25-29,19.388702768147585,20-24,16.612186592329113
30,15-19,66.2455264253017,15-19,70.14684014869889
31,25-29,26.698564593301437,20-24,25.7070340826686
32,20-24,16.739270695227844,20-24,17.142202938880732
33,25-29,4.812666068239258,20-24,4.3725333838542175
34,50-69,9.790638297872341,20-24,7.73308767294723
35,15-19,27.713425228773314,15-19,29.879441624365484
