state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,20-24,26.602694573712498,20-24,24.500570946673772
01,10-14,49.102174248679276,10-14,47.39087411322605
02,25-29,16.84653166738475,20-24,15.31832351489633
03,10-14,26.476655621121665,10-14,26.560193062137046
04,30-49,28.92012192171852,70+,30.536939846588616
05,20-24,24.261783605096017,20-24,20.341989148302414
06,20-24,25.99462849259069,20-24,24.35382656712595
07,20-24,43.450412072174906,20-24,43.26418909024684
08,20-24,14.427489346356442,15-19,12.128173385282098
09,20-24,17.800230397475516,20-24,15.503055548996148
10,20-24,20.11620713036312,15-19,18.847644994851887
11,30-49,40.453525532059565,Age not stated,37.84786641929499
12,10-14,41.71983325777596,10-14,42.03216374269006
13,15-19,41.21057002898452,30-49,44.26133380010502
14,15-19,35.17076715457282,15-19,34.554742374379884
15,20-24,35.25363885286064,15-19,34.71048570798736
16,25-29,37.467368144454156,15-19,36.168948402030644
17,20-24,26.886589047003017,15-19,27.580633174791913
18,25-29,40.23022995717287,10-14,39.01815494617428
19,25-29,18.962155838556367,20-24,15.476237703231687
20,20-24,32.71509149611217,15-19,32.28845509973624
21,25-29,27.28978225211464,10-14,25.51976840132582
22,25-29,14.994310156513585,20-24,13.669626517094036
23,20-24,16.634225151431252,15-19,15.454217924335905
24,15-19,41.88073525719063,15-19,39.84391373890023
25,10-14,42.612903225806456,15-19,49.94427244582043
26,50-69,48.073739653875094,10-14,47.021302202431094
27,15-19,43.32631689548893,15-19,42.88739150357331
28,20-24,26.842710389854073,15-19,25.436132435650066
29,20-24,32.4414246783977,15-19,31.77627405143347
30,10-14,34.4619189438668,10-14,33.959904427686105
31,25-29,20.829346092503986,20-24,20.37708484408992
32,20-24,25.576482146184325,20-24,25.81370799783172
33,20-24,38.14366914711659,15-19,38.36483623758827
34,20-24,44.11254313958703,15-19,43.60387341519417
35,10-14,56.45519336371071,10-14,56.03400819621995
