state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
00,Graduate and above,31.61509157307399,Graduate and above,33.74330698448987
01,Graduate and above,66.97908437770229,Graduate and above,68.0313682000911
02,Graduate and above,15.253778407733593,Graduate and above,15.245721302668269
03,Graduate and above,76.75170753144971,Graduate and above,76.55371053017237
04,Graduate and above,68.56360025967084,Graduate and above,70.52115266707541
05,Graduate and above,7.198458017294578,Graduate and above,7.300236050424388
06,Graduate and above,16.92450823306665,Graduate and above,19.628013783198757
07,Graduate and above,23.276400871890893,Graduate and above,24.714945591682273
08,Graduate and above,7.6426233327118025,Graduate and above,8.632444078257176
09,Graduate and above,6.493682011897516,Graduate and above,6.924386594008528
10,Graduate and above,8.591620623775844,Graduate and above,8.449069039022056
11,Graduate and above,76.049766718507,Graduate and above,79.1837955004111
12,Graduate and above,71.46856986000549,Graduate and above,71.6930600838379
13,Graduate and above,70.78626256530185,Graduate and above,69.59803787982014
14,Graduate and above,66.36931641521446,Graduate and above,62.11866840442687
15,Graduate and above,27.60862939004978,Graduate and above,20.961481039116155
16,Graduate and above,35.156452759503956,Graduate and above,31.393954178609906
17,Graduate and above,50.71797197210166,Graduate and above,42.96733622873688
18,Graduate and above,63.879350667432156,Graduate and above,60.03563519876164
19,Graduate and above,24.46069881790659,Graduate and above,24.48353902839558
20,Graduate and above,19.314723220926666,Graduate and above,21.74433996443312
21,Graduate and above,67.3253084695414,Graduate and above,65.59965092607933
22,Graduate and above,9.825499445439938,Graduate and above,12.911788577210013
23,Graduate and above,10.85973711037883,Graduate and above,11.769304627989843
24,Graduate and above,70.07514012131514,Graduate and above,67.00027920195036
25,Graduate and above,53.23442136498516,Graduate and above,57.93922778158556
26,Graduate and above,50.26580518524577,Graduate and above,54.87260688066792
27,Graduate and above,64.20050734653967,Graduate and above,65.6894748819644
28,Graduate and above,37.513537053951666,Graduate and above,36.25101233310966
29,Graduate and above,48.14899030173842,Graduate and above,50.197885023397525
30,Graduate and above,80.57021747640968,Graduate and above,80.4937389176781
31,Graduate and above,70.91906721536351,Graduate and above,61.01895734597157
32,Graduate and above,42.90953350728696,Graduate and above,35.301878234409656
33,Graduate and above,15.328745613658265,Graduate and above,14.544645911734518
34,Graduate and above,21.78983920887748,Graduate and above,20.486993780676933
35,Graduate and above,57.385112318308614,Graduate and above,52.367846635664804
